X,Y,month,day,wind,rain,area
5,6,sep,wed,4.0,0.0,0.0
5,6,sep,mon,3.6,0.0,0.0
6,6,jul,mon,3.1,0.0,0.0
4,4,mar,mon,1.8,0.0,0.0
4,4,mar,mon,5.8,0.0,0.0
4,4,sep,thu,1.3,0.0,0.0
4,3,aug,sun,2.2,0.0,0.0
4,3,aug,wed,4.9,0.0,0.0
4,3,aug,wed,4.9,0.0,0.0
4,3,aug,thu,3.6,0.0,0.0
4,3,sep,thu,2.2,0.0,0.0
4,3,sep,tue,4.9,0.0,0.0
4,3,oct,sun,2.7,0.0,0.0
2,2,feb,mon,5.4,0.0,0.0
2,2,feb,fri,0.9,0.0,0.0
2,2,mar,sun,5.8,0.0,0.0
2,2,mar,sun,6.3,0.0,0.0
2,2,aug,thu,4.9,0.0,0.0
2,2,aug,sun,2.7,0.0,0.0
2,2,aug,mon,3.1,0.0,0.0
2,2,aug,thu,4.5,0.0,0.0
2,2,sep,fri,4.5,0.0,0.0
2,2,sep,fri,5.4,0.0,0.0
2,2,sep,fri,6.3,0.0,0.0
4,5,mar,fri,4.5,0.0,0.0
4,5,mar,fri,7.6,0.0,0.0
4,5,sep,fri,3.6,0.0,0.0
5,4,mar,fri,6.3,0.0,0.0
5,4,aug,tue,4.5,0.0,0.0
5,4,sep,fri,1.3,0.0,0.0
9,9,feb,thu,3.1,0.0,0.0
9,9,feb,fri,3.1,0.0,0.0
1,3,mar,mon,3.1,0.0,0.0
1,2,aug,fri,2.7,0.0,0.0
1,2,aug,tue,6.7,0.0,0.0
1,2,aug,sun,6.3,0.0,0.0
1,2,aug,sun,2.2,0.0,0.0
1,2,aug,tue,4.5,0.0,0.0
1,2,aug,wed,0.9,0.0,0.0
1,2,aug,thu,3.6,0.0,0.0
1,2,sep,thu,0.9,0.0,0.0
1,2,sep,thu,2.2,0.0,0.0
1,2,sep,thu,2.2,0.0,0.0
1,2,sep,sun,3.6,0.0,0.0
6,5,mar,sat,4.9,0.0,0.0
6,5,aug,sat,5.8,0.0,0.0
8,6,mar,fri,5.4,0.0,0.0
8,6,aug,sun,6.3,0.0,0.0
8,6,aug,sun,4.9,0.0,0.0
8,6,aug,mon,2.7,0.0,0.0
4,4,sep,sun,1.3,0.0,0.0
3,4,feb,sat,1.8,0.0,0.0
3,4,mar,sat,5.4,0.0,0.0
3,4,aug,sun,4.5,0.0,0.0
3,4,aug,sun,5.4,0.0,0.0
3,4,aug,sun,5.4,0.0,0.0
3,4,aug,tue,5.4,0.0,0.0
2,4,aug,tue,4.0,0.0,0.0
2,4,sep,sat,4.5,0.0,0.0
2,4,jan,sat,3.1,0.0,0.0
4,5,mar,fri,6.3,0.0,0.0
4,5,mar,thu,3.1,0.0,0.0
4,5,aug,sun,3.1,0.0,0.0
4,5,sep,sat,3.1,0.0,0.0
4,5,sep,mon,5.4,0.0,0.0
4,4,mar,fri,5.8,0.0,0.0
3,4,mar,fri,4.5,0.0,0.0
3,4,sep,sun,3.6,0.0,0.0
3,4,sep,mon,2.7,0.0,0.0
3,4,mar,tue,7.6,0.0,0.0
3,5,mar,tue,6.3,0.0,0.0
3,4,mar,sat,6.3,0.0,0.0
3,4,mar,sat,4.9,0.0,0.0
3,4,mar,mon,4.0,0.0,0.0
3,4,aug,thu,3.1,0.0,0.0
3,4,aug,mon,2.2,0.0,0.0
3,4,aug,mon,5.4,0.0,0.0
3,4,sep,sun,5.4,0.0,0.0
3,4,sep,tue,3.1,0.0,0.0
3,4,sep,fri,5.4,0.0,0.0
3,4,oct,sun,5.4,0.0,0.0
3,5,mar,mon,2.2,0.0,0.0
3,5,sep,fri,3.1,0.0,0.0
3,5,oct,wed,3.6,0.0,0.0
2,5,oct,sun,0.9,0.0,0.0
4,6,feb,sat,2.7,0.0,0.0
4,6,mar,mon,3.1,0.0,0.0
4,6,mar,sun,4.9,0.0,0.0
4,6,sep,thu,3.1,0.0,0.0
3,5,mar,tue,2.7,0.0,0.0
3,5,aug,sat,5.8,0.0,0.0
3,6,sep,sun,1.3,0.0,0.0
3,6,sep,mon,3.1,0.0,0.0
9,9,jul,tue,2.7,0.0,0.36
1,4,sep,tue,2.2,0.0,0.43
2,5,sep,mon,1.8,0.0,0.47
1,2,aug,wed,4.5,0.0,0.55
8,6,aug,fri,8.9,0.0,0.61
1,2,jul,sat,5.4,0.0,0.71
2,5,aug,wed,5.4,0.0,0.77
6,5,aug,thu,4.0,0.0,0.9
5,4,mar,mon,5.4,0.0,0.95
8,3,sep,tue,3.6,0.0,0.96
2,2,aug,tue,6.7,0.0,1.07
8,6,sep,thu,4.5,0.0,1.12
6,5,jun,fri,5.4,0.0,1.19
9,9,jul,sun,2.2,0.0,1.36
3,4,jul,sat,1.8,0.0,1.43
5,4,sep,fri,4.9,0.0,1.46
1,5,sep,sat,2.7,0.0,1.46
7,4,aug,sun,1.3,0.0,1.56
2,4,sep,sat,2.2,0.0,1.61
2,2,aug,wed,3.6,0.0,1.63
2,4,aug,wed,4.0,0.0,1.64
7,4,sep,fri,5.8,0.0,1.69
7,4,mar,mon,3.1,0.0,1.75
6,4,aug,thu,4.0,0.0,1.9
6,3,mar,sat,8.5,0.0,1.94
8,6,sep,sat,1.8,0.0,1.95
8,5,sep,sun,2.2,0.0,2.01
6,5,mar,thu,4.5,0.0,2.14
6,5,aug,wed,0.9,0.0,2.29
6,5,aug,wed,4.5,0.0,2.51
6,5,mar,fri,9.4,0.0,2.53
8,6,aug,thu,2.2,0.0,2.55
5,4,sep,wed,1.8,0.0,2.57
8,6,aug,wed,4.0,0.0,2.69
7,4,aug,sun,5.4,0.0,2.74
4,4,sep,mon,2.2,0.0,3.07
1,4,aug,sat,1.8,0.0,3.5
1,4,aug,sat,4.9,0.0,4.53
6,5,apr,thu,5.8,0.0,4.61
2,5,aug,sun,2.7,0.0,4.69
2,5,sep,wed,2.2,0.0,4.88
8,6,aug,tue,5.4,0.0,5.23
1,3,sep,sun,6.7,0.0,5.33
8,6,oct,mon,4.0,0.0,5.44
5,4,feb,sun,2.2,0.0,6.38
7,4,oct,mon,4.5,0.0,6.83
8,6,aug,fri,4.9,0.0,6.96
2,5,sep,tue,3.1,0.0,7.04
8,6,mar,sun,5.8,0.0,7.19
1,5,sep,mon,2.2,0.0,7.3
6,4,mar,sat,0.9,0.0,7.4
7,4,mar,sun,4.0,0.0,8.24
6,5,mar,fri,4.0,0.0,8.31
2,5,aug,thu,2.7,0.0,8.68
2,2,aug,tue,4.5,0.0,8.71
4,5,sep,wed,4.0,0.0,9.41
2,2,aug,tue,4.5,0.0,10.01
2,5,aug,fri,5.4,0.0,10.02
6,5,apr,thu,5.8,0.0,10.93
4,5,sep,thu,0.9,0.0,11.06
3,4,sep,tue,6.3,0.0,11.24
2,4,sep,mon,3.6,0.0,11.32
1,5,sep,tue,2.2,0.0,11.53
6,5,mar,sun,3.6,0.0,12.1
7,4,feb,sun,2.2,0.0,13.05
8,6,oct,wed,2.7,0.0,13.7
5,6,mar,sat,4.0,0.0,13.99
4,5,sep,thu,1.8,0.0,14.57
2,2,aug,sat,7.2,0.0,15.45
7,5,sep,tue,2.2,0.0,17.2
6,5,sep,fri,6.3,0.0,19.23
8,3,sep,thu,4.9,0.0,23.41
4,4,oct,sat,3.1,0.0,24.23
7,4,aug,sat,5.8,0.0,26.0
7,4,sep,fri,4.9,0.0,26.13
7,3,mar,mon,5.8,0.0,27.35
4,4,mar,sat,4.9,0.0,28.66
4,4,mar,sat,4.9,0.0,28.66
4,4,sep,sun,1.3,0.0,29.48
1,3,sep,mon,6.3,0.0,30.32
4,5,sep,wed,1.3,0.0,31.72
6,5,mar,mon,3.1,0.0,31.86
8,6,aug,sun,3.1,0.0,32.07
3,4,sep,fri,3.6,0.0,35.88
4,3,mar,mon,5.8,0.0,36.85
2,2,jul,fri,3.6,0.0,37.02
7,4,sep,wed,4.5,0.0,37.71
4,4,sep,sun,4.9,0.0,48.55
7,5,oct,mon,4.0,0.0,49.37
8,6,aug,sat,4.5,0.0,58.3
4,6,sep,sun,3.1,0.0,64.1
8,6,aug,sat,4.0,0.0,71.3
4,4,sep,wed,4.5,0.0,88.49
1,5,sep,sun,3.1,0.0,95.18
6,4,sep,tue,2.7,0.0,103.39
9,4,sep,tue,3.1,0.0,105.66
4,5,sep,sat,3.1,0.0,154.88
8,6,aug,sun,5.8,0.0,196.48
2,2,sep,sat,1.8,0.0,200.94
1,2,sep,tue,2.2,0.0,212.88
6,5,sep,sat,4.0,0.0,1090.84
7,5,apr,sun,1.8,0.0,0.0
6,3,apr,wed,2.7,0.0,0.0
4,4,apr,fri,3.1,0.0,0.0
2,4,aug,sun,4.0,0.0,10.13
7,4,aug,sun,7.6,1.0,0.0
2,4,aug,sun,7.6,0.0,2.87
3,4,aug,sun,6.3,0.0,0.76
5,4,aug,sun,5.4,0.0,0.09
2,4,aug,wed,2.2,0.0,0.75
8,6,aug,wed,2.7,0.0,0.0
3,4,aug,wed,0.4,0.0,2.47
8,5,aug,wed,3.1,0.0,0.68
8,5,aug,wed,3.1,0.0,0.24
6,5,aug,wed,3.6,0.0,0.21
7,4,aug,thu,2.7,0.0,1.52
6,3,aug,thu,3.1,0.0,10.34
2,5,aug,thu,4.0,0.0,0.0
8,6,aug,sat,2.2,0.0,8.02
4,3,aug,sat,2.7,0.0,0.68
3,4,aug,sat,0.9,0.0,0.0
7,4,aug,sat,1.8,0.0,1.38
2,4,aug,mon,4.0,0.0,8.85
3,4,aug,fri,7.6,0.0,3.3
2,4,aug,fri,3.1,0.0,4.25
6,3,aug,fri,3.6,0.0,1.56
4,4,aug,fri,3.1,0.0,6.54
4,4,aug,tue,7.6,0.0,0.79
6,5,aug,tue,4.0,0.0,0.17
2,2,aug,tue,3.1,0.0,0.0
3,4,aug,tue,3.1,0.0,0.0
4,4,aug,tue,2.7,0.0,4.4
2,2,aug,tue,3.1,0.0,0.52
8,6,aug,tue,4.5,0.0,9.27
2,5,aug,tue,4.0,0.0,3.09
4,6,dec,sun,8.5,0.0,8.98
8,6,dec,wed,8.0,0.0,11.19
4,6,dec,thu,4.9,0.0,5.38
4,4,dec,mon,8.5,0.0,17.85
3,4,dec,mon,8.5,0.0,10.73
4,4,dec,mon,8.5,0.0,22.03
4,4,dec,mon,8.5,0.0,9.77
4,6,dec,fri,4.9,0.0,9.27
6,5,dec,tue,8.5,0.0,24.77
6,3,feb,sun,4.0,0.0,0.0
3,4,feb,wed,3.1,0.0,1.1
5,4,feb,fri,8.0,0.0,24.24
2,5,jul,sun,6.3,0.0,0.0
7,6,jul,wed,7.6,0.2,0.0
7,4,jul,sat,2.7,0.0,0.0
7,4,jul,sat,1.8,0.0,0.0
7,4,jul,sat,1.8,0.0,0.0
2,5,jul,sat,1.8,0.0,0.0
9,4,jul,sat,0.9,0.0,8.0
4,5,jul,fri,1.3,0.0,2.64
7,6,jul,tue,5.4,0.0,86.45
8,6,jul,tue,3.6,0.0,6.57
7,5,jun,sun,1.3,0.0,0.0
6,4,jun,sun,1.8,0.0,0.9
8,6,jun,sun,2.2,0.0,0.0
8,6,jun,wed,4.9,0.0,0.0
6,5,jun,sat,2.7,0.0,0.0
6,5,jun,mon,4.9,0.0,0.0
6,5,jun,mon,5.4,0.0,3.52
3,6,jun,fri,4.5,0.0,0.0
3,6,jun,fri,4.5,0.0,0.0
6,5,may,sat,4.9,0.0,0.0
1,4,sep,sun,2.2,0.0,0.0
7,4,sep,sun,5.4,0.0,0.41
3,4,sep,sun,3.6,0.0,5.18
2,4,sep,sun,1.8,0.0,0.0
2,4,sep,sun,2.2,0.0,0.0
7,4,sep,sun,2.7,0.0,0.0
6,3,sep,sun,1.8,0.0,14.29
2,4,sep,sun,6.3,0.0,0.0
6,5,sep,wed,4.9,0.0,0.0
4,4,sep,wed,1.8,0.0,1.58
3,4,sep,wed,2.7,0.0,0.0
4,5,sep,thu,5.8,0.0,0.0
4,4,sep,thu,4.9,0.0,3.78
6,5,sep,thu,2.2,0.0,0.0
5,4,sep,thu,6.3,0.0,4.41
6,3,sep,thu,7.2,0.0,34.36
1,4,sep,thu,4.0,0.0,7.21
6,5,sep,thu,4.0,0.0,1.01
3,5,sep,thu,2.7,0.0,2.18
6,5,sep,thu,1.8,0.0,4.42
1,4,sep,sat,3.1,0.0,0.0
5,4,sep,sat,3.1,0.0,0.0
6,5,sep,sat,2.2,0.0,0.0
6,5,sep,sat,1.8,0.0,0.0
4,3,sep,sat,4.0,0.0,3.33
3,3,sep,sat,3.1,0.0,6.58
7,4,sep,sat,4.5,0.0,15.64
4,4,sep,sat,2.2,0.0,11.22
1,4,sep,mon,3.1,0.0,2.13
2,3,sep,mon,5.4,0.0,0.0
4,3,sep,mon,1.8,0.0,0.0
7,4,sep,mon,2.2,0.0,0.0
6,3,sep,mon,2.2,0.0,56.04
8,6,sep,mon,2.2,0.0,7.48
2,4,sep,mon,1.8,0.0,1.47
2,5,sep,mon,2.2,0.0,3.93
8,6,sep,mon,2.2,0.0,0.0
6,3,sep,mon,1.8,0.0,0.0
8,6,sep,mon,4.5,0.0,2.18
6,3,sep,mon,4.9,0.0,6.1
2,2,sep,mon,3.1,0.0,5.83
1,4,sep,mon,2.2,0.0,28.19
5,4,sep,fri,3.6,0.0,0.0
3,4,sep,fri,4.5,0.0,0.0
5,4,sep,fri,3.6,0.0,1.64
5,4,sep,fri,3.6,0.0,3.71
4,4,sep,fri,6.3,0.0,7.31
7,4,sep,fri,3.6,0.0,2.03
7,4,sep,fri,2.7,0.0,1.72
7,4,sep,fri,2.2,0.0,5.97
4,4,sep,fri,4.9,0.0,13.06
4,4,sep,fri,4.9,0.0,1.26
6,3,sep,fri,3.6,0.0,0.0
6,3,sep,fri,2.7,0.0,0.0
1,4,sep,fri,2.2,0.0,8.12
6,5,sep,fri,2.2,0.0,1.09
4,3,sep,fri,4.0,0.0,3.94
7,4,sep,fri,3.1,0.0,0.52
4,3,sep,tue,2.2,0.0,2.93
6,5,sep,tue,2.7,0.0,5.65
6,5,sep,tue,3.1,0.0,20.03
4,5,sep,tue,5.4,0.0,1.75
4,5,sep,tue,3.6,0.0,0.0
6,5,sep,sat,4.9,0.0,12.64
4,5,sep,sun,7.6,0.0,0.0
7,4,sep,sun,7.6,0.0,11.06
3,4,jul,wed,4.0,0.0,0.0
4,5,aug,sun,0.9,0.0,0.0
5,4,aug,thu,2.7,0.0,0.0
6,5,sep,fri,4.0,0.0,18.3
6,5,sep,sat,4.9,0.0,39.35
8,6,aug,mon,2.2,0.0,0.0
2,2,aug,sat,2.2,0.0,174.63
6,5,mar,thu,5.8,0.0,0.0
4,5,jan,sun,0.9,0.0,0.0
5,4,jul,wed,7.2,0.0,7.73
8,6,aug,thu,2.7,0.0,16.33
8,6,aug,wed,1.8,0.0,5.86
9,6,aug,thu,2.7,0.0,42.87
8,4,aug,sat,4.5,0.0,12.18
2,4,aug,sun,2.2,0.0,16.0
3,4,sep,sun,5.4,0.0,24.59
5,5,mar,thu,5.4,0.0,0.0
6,4,aug,fri,3.1,0.0,28.74
7,4,aug,fri,3.1,0.0,0.0
7,4,feb,mon,6.3,0.0,9.96
8,6,sep,fri,2.7,0.0,30.18
1,3,sep,sun,4.0,0.0,70.76
2,4,mar,tue,7.6,0.0,0.0
6,5,feb,mon,1.8,0.0,0.0
4,5,feb,sun,1.8,0.0,51.78
4,3,sep,sun,4.9,0.0,3.64
5,6,aug,sun,3.6,0.0,3.63
1,2,aug,sat,3.1,0.0,0.0
9,5,jun,wed,4.5,0.0,0.0
9,5,jun,wed,4.5,0.0,8.16
3,4,sep,thu,4.0,0.0,4.95
9,9,aug,fri,4.0,0.0,0.0
8,6,aug,thu,3.6,0.0,0.0
2,4,sep,wed,2.2,0.0,6.04
2,2,aug,tue,2.2,0.0,0.0
6,5,sep,sat,4.9,0.0,3.95
4,5,feb,sat,4.0,0.0,0.0
4,3,sep,fri,3.1,0.0,7.8
1,4,jul,tue,5.4,0.0,0.0
6,3,feb,fri,2.7,0.0,0.0
7,4,feb,fri,9.4,0.0,4.62
9,4,jul,mon,4.5,0.0,1.63
7,5,aug,sat,3.6,0.0,0.0
5,4,aug,sun,4.0,0.0,0.0
8,6,aug,thu,4.9,0.0,746.28
6,3,jul,tue,3.1,0.0,7.02
6,5,mar,wed,5.8,0.0,0.0
2,4,aug,sun,5.4,0.0,2.44
2,5,aug,sun,4.0,0.0,3.05
8,8,aug,wed,4.5,0.0,185.76
2,4,aug,wed,4.5,0.0,0.0
8,6,jul,sun,3.6,0.0,6.3
1,3,sep,sat,4.0,0.0,0.72
8,6,aug,sat,3.6,0.0,4.96
2,2,aug,thu,2.2,0.0,0.0
8,6,aug,thu,2.2,0.0,0.0
2,4,aug,mon,2.2,0.0,2.35
1,3,aug,thu,5.8,0.0,0.0
3,4,aug,sun,4.0,0.0,3.2
7,4,sep,thu,3.6,0.0,0.0
1,3,aug,sat,4.0,0.0,6.36
8,6,aug,thu,6.7,0.0,0.0
2,4,aug,sun,4.9,0.0,15.34
1,4,aug,fri,3.6,0.0,0.0
2,5,jul,sat,1.8,0.0,0.0
8,6,aug,mon,1.3,0.0,0.54
8,6,aug,sat,2.7,0.0,0.0
2,5,aug,sat,4.0,0.0,6.43
1,3,sep,fri,2.2,0.0,0.33
5,4,sep,fri,3.6,0.0,0.0
8,6,aug,mon,1.8,0.0,1.23
6,5,apr,mon,3.1,0.0,3.35
1,2,jul,fri,8.0,0.0,0.0
2,5,sep,fri,3.6,0.0,9.96
5,5,aug,sun,4.5,0.0,0.0
6,5,aug,sun,2.2,0.0,0.0
3,4,mar,wed,8.0,0.0,0.0
7,4,sep,wed,4.0,0.0,0.0
7,4,aug,sun,4.9,0.0,0.0
4,5,aug,wed,5.4,0.0,6.43
1,4,aug,fri,4.9,0.0,9.71
7,4,aug,mon,4.0,0.0,0.0
4,5,aug,thu,3.1,0.0,0.0
3,4,aug,thu,3.1,0.0,0.0
3,4,jul,mon,2.7,0.0,0.0
2,4,aug,thu,2.7,0.0,0.0
1,4,aug,wed,4.0,0.0,82.75
8,6,aug,sat,4.9,0.0,3.32
7,4,aug,sat,8.0,0.0,1.94
2,5,aug,sat,4.9,0.0,0.0
8,6,aug,sat,4.9,0.0,0.0
1,4,sep,sun,7.6,0.0,3.71
6,5,feb,tue,6.3,0.0,5.39
6,4,feb,tue,5.4,0.0,2.14
2,2,feb,sat,0.9,0.0,6.84
6,5,mar,mon,5.8,0.0,3.18
3,4,mar,wed,5.4,0.0,5.55
6,5,mar,thu,3.6,0.0,6.61
6,3,apr,sun,9.4,0.0,61.13
5,4,apr,sun,5.8,0.0,0.0
4,3,may,fri,4.0,0.0,38.48
8,3,jun,mon,4.0,0.0,1.94
9,4,jun,sat,3.1,0.0,70.32
4,3,jun,thu,2.7,0.0,10.08
2,5,jun,thu,9.4,0.0,3.19
4,3,jul,thu,1.3,0.0,1.76
4,3,jul,sun,4.0,0.0,7.36
7,4,jul,sun,4.5,0.0,2.21
7,4,jul,mon,4.9,0.0,278.53
9,9,jul,thu,4.5,0.0,2.75
4,3,jul,thu,4.9,0.0,0.0
3,4,aug,sun,5.8,0.0,1.29
8,6,aug,sun,5.4,0.0,0.0
2,5,aug,sun,4.0,0.0,26.43
2,4,aug,mon,3.6,0.0,2.07
5,4,aug,tue,6.3,0.0,2.0
5,4,aug,tue,3.6,0.0,16.4
4,4,aug,tue,7.6,0.0,46.7
4,4,aug,wed,1.3,0.0,0.0
4,4,aug,wed,4.0,0.0,0.0
4,4,aug,thu,4.5,0.0,0.0
1,3,aug,fri,2.2,0.0,0.0
1,3,aug,fri,4.5,0.0,43.32
6,6,aug,sat,4.9,0.0,8.59
6,6,aug,mon,2.2,0.0,0.0
4,5,aug,mon,3.1,0.0,2.77
3,4,aug,tue,2.2,0.0,14.68
6,5,aug,tue,2.7,0.0,40.54
7,5,aug,tue,4.9,6.4,10.82
8,6,aug,tue,4.9,0.8,0.0
7,5,aug,tue,4.9,0.8,0.0
4,4,aug,tue,4.9,0.4,0.0
2,4,aug,wed,4.9,0.0,1.95
4,3,aug,wed,4.9,0.0,49.59
1,2,aug,thu,1.8,0.0,5.8
1,2,aug,fri,8.5,0.0,0.0
2,4,aug,fri,3.6,0.0,0.0
1,2,aug,fri,3.6,0.0,0.0
5,4,aug,fri,7.6,1.4,2.17
6,5,aug,fri,5.4,0.0,0.43
8,6,aug,sun,2.7,0.0,0.0
4,3,aug,sun,2.7,0.0,6.44
2,4,aug,sun,5.8,0.0,54.29
7,4,aug,sun,6.7,0.0,11.16
1,4,aug,sat,4.0,0.0,0.0
6,3,nov,tue,4.5,0.0,0.0
